variantID,displayName,turnIntensity,accelerationIntensity,verticalStatus,updateInterval,pairCount,trackCount,aircraftCount,sessionCount,occupied
campaign_3day_increment_v1,3-Day Campaign Increment,1-3,0.5-1,descent,<0.75,1364,388,320,112,1
campaign_3day_increment_v1,3-Day Campaign Increment,>=3,0.5-1,descent,<0.75,116,38,36,29,1
campaign_3day_increment_v1,3-Day Campaign Increment,<0.5,>=1,descent,<0.75,1478,373,312,115,1
campaign_3day_increment_v1,3-Day Campaign Increment,0.5-1,>=1,descent,<0.75,24,19,18,17,1
campaign_3day_increment_v1,3-Day Campaign Increment,1-3,>=1,descent,<0.75,378,172,150,93,1
campaign_3day_increment_v1,3-Day Campaign Increment,>=3,>=1,descent,<0.75,91,21,21,16,1
campaign_3day_increment_v1,3-Day Campaign Increment,<0.5,<0.1,level,<0.75,51527,908,717,123,1
campaign_3day_increment_v1,3-Day Campaign Increment,0.5-1,<0.1,level,<0.75,741,257,209,90,1
campaign_3day_increment_v1,3-Day Campaign Increment,1-3,<0.1,level,<0.75,2647,371,290,94,1
campaign_3day_increment_v1,3-Day Campaign Increment,>=3,<0.1,level,<0.75,408,94,79,57,1
campaign_3day_increment_v1,3-Day Campaign Increment,<0.5,0.1-0.5,level,<0.75,4442,642,515,114,1
campaign_3day_increment_v1,3-Day Campaign Increment,0.5-1,0.1-0.5,level,<0.75,779,280,225,88,1
campaign_3day_increment_v1,3-Day Campaign Increment,1-3,0.1-0.5,level,<0.75,472,157,130,67,1
campaign_3day_increment_v1,3-Day Campaign Increment,>=3,0.1-0.5,level,<0.75,86,38,31,31,1
campaign_3day_increment_v1,3-Day Campaign Increment,<0.5,0.5-1,level,<0.75,4326,572,465,116,1
campaign_3day_increment_v1,3-Day Campaign Increment,0.5-1,0.5-1,level,<0.75,180,106,92,62,1
campaign_3day_increment_v1,3-Day Campaign Increment,1-3,0.5-1,level,<0.75,1511,333,256,87,1
campaign_3day_increment_v1,3-Day Campaign Increment,>=3,0.5-1,level,<0.75,197,73,65,46,1
campaign_3day_increment_v1,3-Day Campaign Increment,<0.5,>=1,level,<0.75,1612,319,264,100,1
campaign_3day_increment_v1,3-Day Campaign Increment,0.5-1,>=1,level,<0.75,20,15,15,14,1
campaign_3day_increment_v1,3-Day Campaign Increment,1-3,>=1,level,<0.75,745,189,155,72,1
campaign_3day_increment_v1,3-Day Campaign Increment,>=3,>=1,level,<0.75,106,42,38,31,1
campaign_3day_increment_v1,3-Day Campaign Increment,<0.5,<0.1,climb,<0.75,40846,820,638,116,1
campaign_3day_increment_v1,3-Day Campaign Increment,0.5-1,<0.1,climb,<0.75,850,285,259,95,1
campaign_3day_increment_v1,3-Day Campaign Increment,1-3,<0.1,climb,<0.75,2268,336,285,94,1
campaign_3day_increment_v1,3-Day Campaign Increment,>=3,<0.1,climb,<0.75,286,88,81,46,1
campaign_3day_increment_v1,3-Day Campaign Increment,<0.5,0.1-0.5,climb,<0.75,6676,670,528,116,1
campaign_3day_increment_v1,3-Day Campaign Increment,0.5-1,0.1-0.5,climb,<0.75,842,280,246,91,1
campaign_3day_increment_v1,3-Day Campaign Increment,1-3,0.1-0.5,climb,<0.75,575,165,147,70,1
campaign_3day_increment_v1,3-Day Campaign Increment,>=3,0.1-0.5,climb,<0.75,67,35,30,26,1
campaign_3day_increment_v1,3-Day Campaign Increment,<0.5,0.5-1,climb,<0.75,6062,569,464,113,1
campaign_3day_increment_v1,3-Day Campaign Increment,0.5-1,0.5-1,climb,<0.75,237,115,109,60,1
campaign_3day_increment_v1,3-Day Campaign Increment,1-3,0.5-1,climb,<0.75,1458,299,262,88,1
